"","site","site_id","start_date","end_date","benzene","benzene_flag","toluene","toluene_flag","etbenz","etbenz_flag","xylenes","xylenes_flag","btex","btex_flag","mpxylene","mpxylene_flag","oxylene","oxylene_flag","trichlorofluoromethane","tcfm_flag","hexane","hexane_flag","hexane2methyl","hexane2methyl_flag","heptane","heptane_flag","heptane3methyl","heptane3methyl_flag","octane","octane_flag","tce","tce_flag","nonane","nonane_flag","propylbenzene","propylbenzene_flag","benz1ethyl3methyl","benz1ethyl3methyl_flag","benz1ethyl4methyl","benz1ethyl4methyl_flag","decane","decane_flag","mesitylene","mesitylene_flag","benz1ethyl2methyl","benz1ethyl2methyl_flag","benz12chloro","benz12chloro_flag","undecane","undecane_flag","dodecane","dodecane_flag","site_type","lat","long"
"37","Essington & Mingo",2,2023-07-19 12:56:00,2023-07-26 10:20:00,0.377,"REG",0.603,"REG",0.144,"REG",0.993,"REG",2.117,"REG",0.765,"REG",0.228,"LOD",0.206,"REG",0.23,"REG",0.144,"LOD",0.212,"REG",0.168,"LOD",0.074,"LOD",0.032,"REG",0.05,"LOD",0.044,"LOD",0.076,"LOD",0.027,"LOD",0.082,"LOD",0.12,"LOD",0.05,"LOD",0.04,"LOD",0.137,"LOD",0.064,"LOD","stationary","39.90131732"," -75.2250262"
"38","61st & Passyunk",3,2023-07-19 13:04:00,2023-07-26 10:27:00,0.512,"REG",1.523,"REG",0.36,"REG",2.992,"REG",5.387,"REG",2.309,"REG",0.683,"REG",0.206,"REG",0.614,"REG",0.432,"REG",0.491,"REG",0.422,"LOD",0.164,"REG",0.032,"REG",0.118,"LOD",0.131,"LOD",0.303,"LOD",0.109,"LOD",0.152,"LOD",0.3,"REG",0.099,"LOD",0.04,"LOD",0.185,"LOD",0.064,"LOD","stationary","39.91820446"," -75.2085474"
"39","28th & Passyunk",4,2023-07-19 13:10:00,2023-07-26 10:34:00,0.557,"REG",1.063,"REG",0.396,"REG",4.736,"REG",6.752,"REG",3.75,"REG",0.986,"REG",0.206,"REG",1.047,"REG",1.009,"REG",0.956,"REG",1.439,"REG",0.375,"REG",0.032,"REG",0.359,"REG",0.218,"LOD",0.556,"REG",0.19,"LOD",0.434,"REG",0.901,"REG",0.224,"LOD",0.04,"LOD",0.905,"REG",0.453,"REG","stationary","39.92061091"," -75.1955879"
"40","28th & Point Breeze",5,2023-07-19 13:19:00,2023-07-26 10:45:00,0.422,"REG",0.664,"REG",0.216,"REG",1.761,"REG",3.063,"REG",1.382,"REG",0.379,"REG",0.206,"REG",0.374,"REG",0.24,"LOD",0.351,"REG",0.337,"LOD",0.134,"REG",0.032,"REG",0.118,"LOD",0.044,"LOD",0.126,"LOD",0.054,"LOD",0.152,"LOD",0.18,"REG",0.075,"LOD",0.04,"LOD",0.233,"LOD",0.103,"LOD","stationary","39.92624784"," -75.1923165"
"41","Morris & Point Breeze",7,2023-07-19 13:36:00,2023-07-26 11:02:00,0.422,"REG",0.695,"REG",0.144,"REG",1.235,"REG",2.496,"REG",0.97,"REG",0.265,"LOD",0.172,"REG",0.326,"REG",0.192,"LOD",0.259,"REG",0.168,"LOD",0.074,"LOD",0.032,"REG",0.084,"LOD",0.044,"LOD",0.126,"LOD",0.054,"LOD",0.187,"LOD",0.18,"REG",0.05,"LOD",0.08,"LOD",0.425,"LOD",0.336,"LOD","stationary","39.93094655"," -75.1829941"
"42","25th & Point Breeze",6,2023-07-19 13:30:00,2023-07-26 11:10:00,0.421,"REG",1.459,"REG",0.36,"REG",2.949,"REG",5.189,"REG",2.305,"REG",0.644,"REG",0.171,"REG",0.422,"REG",0.336,"REG",0.397,"REG",0.337,"LOD",0.134,"REG",0.032,"REG",0.152,"LOD",0.087,"LOD",0.227,"LOD",0.081,"LOD",0.117,"LOD",0.24,"REG",0.099,"LOD",0.04,"LOD",0.026,"ND",0.102,"LOD","stationary","39.92771763"," -75.1873965"
"43","24th & Ritner",8,2023-07-19 20:47:00,2023-07-26 11:36:00,0.486,"REG",0.82,"REG",0.188,"REG",1.434,"REG",2.928,"REG",1.118,"REG",0.316,"REG",0.179,"REG",0.34,"REG",0.25,"LOD",0.318,"REG",0.263,"LOD",0.14,"REG",0.033,"REG",0.195,"REG",0.045,"LOD",0.132,"LOD",0.057,"LOD",0.159,"LOD",0.188,"REG",0.009,"ND",0.042,"LOD",0.242,"LOD",0.147,"LOD","stationary","39.92296389"," -75.186874"
"44","26th & Hartranft",9,2023-07-19 13:59:00,2023-07-26 12:08:00,0.465,"REG",0.692,"REG",0.179,"REG",1.562,"REG",2.898,"REG",1.222,"REG",0.34,"REG",0.171,"REG",0.42,"REG",0.287,"LOD",0.396,"REG",0.336,"LOD",0.164,"REG",0.032,"REG",0.22,"REG",0.13,"LOD",0.252,"LOD",0.081,"LOD",0.676,"REG",0.299,"REG",0.124,"LOD",0.04,"LOD",1.283,"REG",1.071,"REG","stationary","39.91327125"," -75.1922011"
"45","Bartram’s Garden",1,2023-07-26 09:57:00,2023-08-02 10:27:00,0.207,"REG",0.272,"REG",0.054,"REG",0.38,"REG",0.913,"REG",0.297,"REG",0.083,"REG",0.075,"REG",0.109,"REG",0.066,"REG",0.082,"REG",0.057,"LOD",0.05,"REG",0.013,"REG",0.111,"REG",0.018,"LOD",0.011,"ND",0.034,"REG",0.049,"REG",0.041,"REG",0.014,"LOD",0.027,"REG",0.105,"REG",0.015,"ND","stationary","39.92896"," -75.212541"
"46","Essington & Mingo",2,2023-07-26 10:18:00,2023-08-02 10:42:00,0.208,"REG",0.333,"REG",0.074,"REG",0.532,"REG",1.147,"REG",0.423,"REG",0.109,"REG",0.075,"REG",0.139,"REG",0.086,"REG",0.092,"REG",0.054,"LOD",0.037,"REG",0.013,"REG",0.053,"REG",0.024,"LOD",0.045,"REG",0.018,"LOD",0.04,"LOD",0.04,"REG",0.017,"LOD",0.022,"LOD",0.059,"LOD",0.033,"LOD","stationary","39.90131732"," -75.2250262"
